bankname,baseurl,benifits,image,info,nameOfCard,typeOfCard
Commercial Bank of Dubai,//a[@class='button orange wide boxListCta']/@href,,,,,
Commercial Bank of Dubai,//a[@class='button orange wide boxListCta']/@href,,/images/default-source/default-album/product-page-visasignature-banner,"Visa Signature credit card empowers you with the financial flexibility, spending power and exclusive privileges like no other.CBD offers Personal Loans at attractive and accessible rates.Get free multi-trip travel insurance.You are more than welcome to visit us. Find out your nearest branch.Reward points for every dirham spent.Protection against fraud with the latest technology in card security.Specially designed for our most distinguished clientsFree access to an international network of VIP airport lounges.",Visa Signature,
Commercial Bank of Dubai,//a[@class='button orange wide boxListCta']/@href,,/images/default-source/default-album/product-page-world-mastercard-banneraf111bff458f66deb8c5ff0b00b6b24a,"You are more than welcome to visit us. Find out your nearest branch.Protection against fraud with the latest technology in card security.The right tools to plan for some of life’s biggest financial milestones.The World MastercardFree access to an international network of VIP airport lounges.in UAE promises to open up a world of unique experiences and exciting privileges for the holder.Designed to serve the specialised needs of our most discerning clients.You’ve worked hard to earn, protect and grow your wealth – now let us help you manage it.",World Mastercard,
Commercial Bank of Dubai,//a[@class='button orange wide boxListCta']/@href,,/images/default-source/default-album/landing-page-smiles-platinum,"It opens up a world of unique experiences and exciting privileges for the holder.50% OFF on Novo Cinemas ticketsEarn up to 5 Smiles points for your spendsApply and earn welcome bonusEnjoy Visa Platinum exclusive lifestyle benefitsThe right tools to plan for some of life’s biggest financial milestones.You’ve worked hard to earn, protect and grow your wealth – now let us help you manage it.You are more than welcome to visit us. Find out your nearest branch.",CBD Smiles Visa Platinum,
Commercial Bank of Dubai,//a[@class='button orange wide boxListCta']/@href,,/images/default-source/default-album/product-pagesupersaver-banner,You are more than welcome to visit us. Find out your nearest branch.Protection against fraud with the latest technology in card security.The right tools to plan for some of life’s biggest financial milestones.Welcome to a world of CASHBACK with the new CBD Super Saver Credit Card - the best cashback credit card in the UAEMulti-trip travel insurance for you and your family.Free access to an international network of VIP airport lounges.Designed to serve the specialised needs of our most discerning clients.,CBD Super Saver Credit Card,
Commercial Bank of Dubai,//a[@class='button orange wide boxListCta']/@href,,/images/default-source/default-album/editd-cbdsmilesignature-banner,"It opens up a world of unique experiences and exciting privileges for the holder.50% OFF on Cinema tickets at Vox, Reel & NovoStep into the world of Smiles with the CBD Smiles Visa Signature Credit Card and get Welcome Benefits & Savings over AED 2,000!Apply and earn welcome bonus of 100,000 Smiles pointsEarn up to 10 Smiles points for your spendsComplimentary access to over 1000 airport lounges worldwideThe right tools to plan for some of life’s biggest financial milestones.You’ve worked hard to earn, protect and grow your wealth – now let us help you manage it.You are more than welcome to visit us. Find out your nearest branch.",CBD Smiles Visa Signature,
Commercial Bank of Dubai,//a[@class='button orange wide boxListCta']/@href,,/images/default-source/website-header-images/productpage_banner-titanium,"CBD offers Personal Loans at attractive and accessible rates.Free access to airport lounges in the Middle East.The CBD  Titanium MastercardNo annual fees forever.Reward points for every dirham spent.Protection against fraud with the latest technology in card security.Designed to serve the specialised needs of our most discerning clients.provides you with greater spending power, worldwide acceptance and the ability to earn exclusive rewards.You are more than welcome to visit us. Find out your nearest branch.",Titanium Mastercard,
Commercial Bank of Dubai,//a[@class='button orange wide boxListCta']/@href,,/images/default-source/default-album/product-page-visainfinite-banner,"It opens up a world of unique experiences and exciting privileges for the holder.Get free multi-trip travel insurance.You are more than welcome to visit us. Find out your nearest branch.Reward points for every dirham spent.Protection against fraud with the latest technology in card security.The right tools to plan for some of life’s biggest financial milestones.Designed to serve the specialised needs of our most discerning clients, the CBD Visa Infinite Card reflects your distinguished lifestyle.You’ve worked hard to earn, protect and grow your wealth – now let us help you manage it.Free access to an international network of VIP airport lounges.",Visa Infinite,
Commercial Bank of Dubai,//a[@class='button orange wide boxListCta']/@href,,/images/default-source/default-album/product-pageplatinum-banner,"Get free multi-trip travel insurance.CBD offers Personal Loans at attractive and accessible rates.Reward points for every dirham spent.No annual fees forever.Protection against fraud with the latest technology in card security.It opens up a world of unique experiences and exciting privileges for the holder.Enjoy the luxury of choice from daily shopping, paying bills to making online purchases. Simplify your life in more than one way with CBD Visa Platinum credit card.You are more than welcome to visit us. Find out your nearest branch.",Visa Platinum,
Commercial Bank of Dubai,//a[@class='button orange wide boxListCta']/@href,,/images/default-source/default-album/yes-rewards-banner,"To welcome you to the CBD Yes Card family, we are giving you a complimentary gift of AED 200** (in the form of 20,000 Yes Rewards) to fuel up your tank for free.Not only do you get to save big on fuel and other spends but this Card is also free*** for life.Enjoy up to 15%* back in Yes Points on all your ENOC and EPPCO service station spends including fuel, Zoom purchases, Autopro, Pronto50% off cinema tickets at Vox, Reel & Novo cinemas",Big savings with CBD Yes Rewards Credit Card,
